en,pt-br,es,de
colega,colleague,colega,Kollege,
Visualizador de Apontamentos,Notes Viewer,Visor de notas,Notizen-Betrachter,
só registros válidos,only valid records,sólo registros válidos,nur gültige Datensätze,
Registros Inválidos,Invalid Records,Registros no válidos,Ungültige Datensätze,
Período de Interesse,Period of Interest,Período de interés,Zeitraum von Interesse,
Pessoa,Person,Persona,Person,
Projeto,Project,Proyecto,Projekt,
Produto,Product,Producto,Produkt,
Colaborador,Employee,Empleado,Mitarbeiter,
Linha,Line,Línea,Zeile,
Data,Date,Fecha,Datum,
Horas,Time,Hora,Zeit,
Atividade,Activity,Actividad,Tätigkeit,
Compromisso da Equipe,Team Commitment,Compromiso del equipo,Teamverpflichtung,
Último Preenchimento,Last Fill,Último relleno,Letzte Füllung,
Boxplot,Boxplot,Boxplot,Boxplot,
Trabalhado/Transcorrido,Worked/Elapsed,Trabajado/Transcurrido,Gearbeitet/Abgelaufen,
Sem registro válidos,No valid records,No hay registros válidos,Keine gültigen Datensätze,
Colegas do Futuro,Future colleagues,Futuros colegas,Zukünftige Kollegen,
Boxplot de horas trabalhadas por Pessoa,Boxplot of hours worked by Person,Boxplot de horas trabajadas por Persona,Boxplot der Arbeitsstunden nach Person,
Horas e dias úteis reportados vs não-reportados,Hours and working days reported vs. not reported,Horas y días de trabajo declarados frente a no declarados,Gemeldete vs. nicht gemeldete Arbeitsstunden und -tage,
Porcentagens,Percentages,Porcentajes,Prozentsätze,
Selecionar...,Select...,Seleccionar..,Auswählen...,
